id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
the-open-network,gram,Gram (prev. Toncoin),https://coin-images.coingecko.com/coins/images/17980/large/Gram_Circular_Badge.png?1781524778,1.51,4117239521,25,7870941612,54436396.0,1.56,1.41,-0.04701286394945425,-3.0212,-131040198.73431349,-3.08455,2728324433.328465,5215747639.231752,,8.25,-81.79976,2024-06-15T00:36:51.509Z,0.519364,189.23396,2021-09-21T00:33:11.092Z,,2026-07-17T10:09:09.016Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999721,4002383237,26,4002383237,74449641.0,0.999873,0.999638,2.944e-05,0.00294,-13479764.625936508,-0.33566,4003498312.828724,4003498312.828724,,1.034,-3.3215,2025-12-09T17:10:12.652Z,0.929486,7.55178,2024-10-04T07:57:15.809Z,,2026-07-17T10:09:10.700Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,44.81,3464427585,27,3464430943,286755172.0,45.73,44.21,0.204346,0.4581,10520537.0,0.3046,77393922.63083594,77393997.63122337,84000000.0,410.26,-89.13219,2021-05-10T03:13:07.904Z,1.15,3780.97314,2015-01-14T00:00:00.000Z,,2026-07-17T10:09:27.312Z
global-dollar,usdg,Global Dollar,https://coin-images.coingecko.com/coins/images/51281/large/GDN_USDG_Token_200x200.png?1730484111,1.004,3167865095,28,3167865095,283679647.0,1.007,0.998693,0.00257016,0.25673,3688989.0,0.11659,3155400667.154434,3155400667.154434,,1.65,-39.37621,2025-01-30T00:11:05.728Z,0.907561,10.51929,2024-11-11T23:55:50.604Z,,2026-07-17T10:09:14.342Z
hashnote-usyc,usyc,Circle USYC,https://coin-images.coingecko.com/coins/images/51054/large/Hashnote_SDYC_200x200.png?1730370965,1.13,3005328169,29,3005356436,24995.0,1.13,1.13,-0.000111347562786079,-0.00984,-295824.09295606613,-0.00984,2656354852.336815,2656379837.010842,,1.13,-0.00986,2026-07-17T08:41:12.051Z,1.026,10.25922,2024-12-05T22:31:20.475Z,,2026-07-17T10:09:13.774Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,0.734771,2977538087,30,7347711279,199896669.0,0.751918,0.724178,-0.004955474651756497,-0.66991,-26395600.533635616,-0.8787,4052334085.342099,10000000000.0,10000000000.0,5.35,-86.25715,2025-01-04T22:56:18.063Z,0.364846,101.39179,2023-10-19T10:40:30.078Z,,2026-07-17T10:09:16.982Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.066319,2903142045,31,3314762924,52661650.0,0.068005,0.065845,-0.000782025301580683,-1.16544,-36694698.661305904,-1.24819,43791096248.51861,50000000000.0,50000000000.0,0.569229,-88.37394,2021-09-15T10:40:28.318Z,0.00986111,571.10992,2020-01-02T17:30:24.852Z,,2026-07-17T10:09:21.086Z
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Token_Logo_2x.png?1765987788,0.999757,2822482016,32,2822482016,58192518.0,0.99994,0.999634,0.00012207,0.01221,-24260673.571445465,-0.85223,2823170410.750971,2823170410.751044,,1.081,-7.50288,2026-04-02T07:35:31.426Z,0.959426,4.20311,2024-12-05T22:31:13.430Z,,2026-07-17T10:09:20.615Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,6.5,2805426202,33,3011195290,132789146.0,6.64,6.43,-0.07358087829523985,-1.11957,-33380657.40127182,-1.17587,431771961.1772119,463441061.1772119,720000000.0,144.96,-95.52088,2021-11-21T14:18:56.538Z,2.8,131.8041,2020-12-31T13:15:21.540Z,,2026-07-17T10:09:27.394Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.059225,2730798407,34,5853120964,39418582.0,0.065707,0.055825,0.00340014,6.09073,158002545.0,6.14128,46091635199.39764,98791589867.94463,100000000000.0,0.891544,-93.34577,2021-11-24T00:00:00.000Z,0.0121196,389.49973,2019-02-08T00:00:00.000Z,,2026-07-17T10:09:25.447Z
